,CPI,Monthly salary,Policy rate,Unemployed
0,69.3,20126,01/01/1997,4.0
1,69.6,20126,01/02/1997,3.7
2,69.7,20126,01/03/1997,3.6
3,69.7,20126,01/04/1997,3.4
4,69.8,20126,01/05/1997,3.2
5,70.0,20126,01/06/1997,3.4
6,69.9,20126,01/07/1997,3.6
7,69.8,20126,01/08/1997,3.5
8,70.2,20126,01/09/1997,3.0
9,70.3,20126,01/10/1997,2.8
10,70.4,20126,01/11/1997,2.5
11,70.4,20126,01/12/1997,2.5
12,70.7,21620,01/01/1998,2.9
13,71.0,21620,01/02/1998,2.8
14,71.4,21620,01/03/1998,2.6
15,71.4,21620,01/04/1998,2.4
16,71.3,21620,01/05/1998,2.2
17,71.5,21620,01/06/1998,2.4
18,71.5,21620,01/07/1998,2.6
19,71.3,21620,01/08/1998,2.6
20,71.9,21620,01/09/1998,2.2
21,71.9,21620,01/10/1998,2.2
22,72.0,21620,01/11/1998,2.1
23,72.1,21620,01/12/1998,2.3
24,72.4,22515,01/01/1999,2.8
25,72.5,22515,01/02/1999,2.6
26,73.0,22515,01/03/1999,2.6
27,73.2,22515,01/04/1999,2.5
28,73.1,22515,01/05/1999,2.2
29,73.2,22515,01/06/1999,2.5
30,73.0,22515,01/07/1999,2.8
31,72.7,22515,01/08/1999,2.9
32,73.4,22515,01/09/1999,2.5
33,73.7,22515,01/10/1999,2.5
34,74.0,22515,01/11/1999,2.4
35,74.1,22515,01/12/1999,2.5
36,74.5,23614,01/01/2000,3.0
37,74.8,23614,01/02/2000,2.8
38,74.9,23614,01/03/2000,2.7
39,75.1,23614,01/04/2000,2.6
40,75.2,23614,01/05/2000,2.6
41,75.6,23614,01/06/2000,2.6
42,75.3,23614,01/07/2000,2.9
43,75.3,23614,01/08/2000,2.9
44,76.0,23614,01/09/2000,2.5
45,76.0,23614,01/10/2000,2.5
46,76.4,23614,01/11/2000,2.5
47,76.3,23614,01/12/2000,2.6
48,76.9,24699,01/01/2001,3.0
49,77.5,24699,01/02/2001,2.8
50,77.7,24699,01/03/2001,2.6
51,78.0,24699,01/04/2001,2.5
52,78.4,24699,01/05/2001,2.3
53,78.4,24699,01/06/2001,2.5
54,77.4,24699,01/07/2001,2.8
55,77.3,24699,01/08/2001,2.8
56,77.7,24699,01/09/2001,2.6
57,77.7,24699,01/10/2001,2.6
58,77.7,24699,01/11/2001,2.7
59,77.9,24699,01/12/2001,2.8
60,78.0,26357,01/01/2002,3.2
61,78.1,26357,01/02/2002,3.0
62,78.4,26357,01/03/2002,3.0
63,78.5,26357,01/04/2002,3.0
64,78.7,26357,01/05/2002,2.9
65,78.7,26357,01/06/2002,3.1
66,78.6,26357,01/07/2002,3.4
67,78.3,26357,01/08/2002,3.5
68,78.8,26357,01/09/2002,3.2
69,79.1,26357,01/10/2002,3.3
70,79.4,26357,01/11/2002,3.3
71,80.0,26357,01/12/2002,3.4
72,81.9,27261,01/01/2003,4.0
73,82.0,27261,01/02/2003,3.9
74,81.4,27261,01/03/2003,3.8
75,80.8,27261,01/04/2003,3.9
76,80.3,27261,01/05/2003,3.7
77,80.1,27261,01/06/2003,3.9
78,79.8,27261,01/07/2003,4.1
79,80.0,27261,01/08/2003,4.3
80,80.4,27261,01/09/2003,3.9
81,80.4,27261,01/10/2003,3.8
82,80.5,27261,01/11/2003,3.7
83,80.5,27261,01/12/2003,3.9
84,80.4,28242,01/01/2004,4.3
85,80.5,28242,01/02/2004,4.1
86,80.9,28242,01/03/2004,3.9
87,81.0,28242,01/04/2004,3.8
88,81.1,28242,01/05/2004,3.7
89,81.1,28242,01/06/2004,3.7
90,81.0,28242,01/07/2004,4.1
91,80.8,28242,01/08/2004,4.1
92,81.3,28242,01/09/2004,3.8
93,81.5,28242,01/10/2004,3.7
94,81.5,28242,01/11/2004,3.5
95,81.4,28242,01/12/2004,3.6
96,81.2,29159,01/01/2005,4.1
97,81.3,29159,01/02/2005,3.8
98,81.7,29159,01/03/2005,3.7
99,82.1,29159,01/04/2005,3.6
100,82.4,29159,01/05/2005,3.3
101,82.4,29159,01/06/2005,3.4
102,82.2,29159,01/07/2005,3.7
103,82.3,29159,01/08/2005,3.7
104,82.9,29159,01/09/2005,3.4
105,83.0,29159,01/10/2005,3.3
106,83.0,29159,01/11/2005,3.0
107,82.9,29159,01/12/2005,3.0
108,82.7,30539,01/01/2006,3.3
109,83.4,30539,01/02/2006,3.0
110,83.6,30539,01/03/2006,2.9
111,84.3,30539,01/04/2006,2.8
112,84.3,30539,01/05/2006,2.5
113,84.2,30539,01/06/2006,2.6
114,83.9,30539,01/07/2006,2.8
115,83.9,30539,01/08/2006,2.7
116,85.1,30539,01/09/2006,2.4
117,85.2,30539,01/10/2006,2.2
