Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
2022,2.6,2.2,2,1.9,1.6,1.6,1.7,1.6,1.6,1.6,1.6,1.6
2021,4.4,4.3,4.2,4,3.3,2.9,3.1,2.7,2.4,2.2,2.1,2.2
2020,2.4,2.3,10.6,9.5,6.4,4.8,4.9,4.3,3.7,3.5,3.9,3.8
2019,2.5,2.4,2.4,2.3,2.1,2.1,2.4,2.3,2.2,2.1,2.1,2.2
2018,2.6,2.5,2.5,2.4,2.2,2.2,2.5,2.4,2.3,2.2,2.3,2.3
2017,3.2,3.1,2.9,2.8,2.6,2.6,2.8,2.7,2.5,2.4,2.3,2.4
2016,3.4,3.3,3.2,3.1,2.9,2.9,3.2,3.1,2.8,2.8,2.8,2.8
2015,3,3,3,2.9,2.7,2.8,3.1,3.1,2.9,2.9,2.9,3
2014,3,2.9,2.9,2.8,2.7,2.7,3,2.9,2.7,2.7,2.6,2.7
2013,2.7,2.6,2.6,2.6,2.5,2.5,2.8,2.8,2.6,2.5,2.6,2.6
2012,2.7,2.6,2.6,2.5,2.3,2.4,2.7,2.6,2.4,2.3,2.3,2.4
2011,3.1,3,2.9,2.8,2.5,2.5,2.8,2.7,2.5,2.4,2.4,2.4
2010,3.2,3,3.1,3,2.7,2.8,3,2.9,2.8,2.7,2.7,2.7
2009,2.5,2.6,2.7,2.8,2.6,2.7,3,2.9,2.6,2.6,2.5,2.6
2008,1.8,1.7,1.7,1.5,1.5,1.5,1.8,1.8,1.7,1.7,1.8,2
2007,2.3,2.1,2,1.9,1.7,1.8,2.1,2,1.8,1.7,1.6,1.6
2006,3.3,3,2.9,2.8,2.5,2.6,2.8,2.7,2.4,2.2,2.1,2.1
2005,4.1,3.8,3.7,3.6,3.3,3.4,3.7,3.7,3.4,3.3,3,3
2004,4.3,4.1,3.9,3.8,3.7,3.7,4.1,4.1,3.8,3.7,3.5,3.6
2003,4,3.9,3.8,3.9,3.7,3.9,4.1,4.3,3.9,3.8,3.7,3.9
2002,3.2,3,3,3,2.9,3.1,3.4,3.5,3.2,3.3,3.3,3.4
2001,3,2.8,2.6,2.5,2.3,2.5,2.8,2.8,2.6,2.6,2.7,2.8
2000,3,2.8,2.7,2.6,2.6,2.6,2.9,2.9,2.5,2.5,2.5,2.6
1999,2.8,2.6,2.6,2.5,2.2,2.5,2.8,2.9,2.5,2.5,2.4,2.5
1998,2.9,2.8,2.6,2.4,2.2,2.4,2.6,2.6,2.2,2.2,2.1,2.3
1997,4,3.7,3.6,3.4,3.2,3.4,3.6,3.5,3,2.8,2.5,2.5
1996,4.7,4.5,4.3,4.2,4,4.3,4.7,4.5,3.9,3.6,3.5,3.6
1995,5.5,5.2,4.9,4.6,4.4,5.1,5.4,5.2,4.5,4.1,4,4.1
1994,5.9,5.6,5.4,5.1,4.8,5.6,5.8,5.6,4.8,4.5,4.4,4.6
1993,6.1,5.8,5.6,5.6,5.1,5.8,6.3,6,5.1,4.9,4.9,5.3
1992,5.7,5.4,5.3,5.6,4.9,5.5,6.1,5.8,5,4.8,4.9,5.5
1991,4.8,4.6,4.5,4.3,4.1,4.7,5,5.3,4.6,4.4,4.6,5
